,pro,mat,x,y,compute,m,n,nnz,cu_time,flops,cu_gflops
75,exe_spgemm_cusparse_bf16,/ssget/MM/Grund/bayer05/bayer05.cbd,2,2,2,3268,3268,27836,0.19929,281667,2.826704802047268
76,exe_spgemm_cusparse_16,/ssget/MM/Grund/bayer02/bayer02.cbd,2,2,2,13935,13935,63679,0.16635,291230,3.50141268409979
77,exe_spgemm_cusparse_32,/ssget/MM/Grund/bayer02/bayer02.cbd,4,4,4,13935,13935,63679,0.17049,291230,3.416388057950613
78,exe_spgemm_cusparse_64,/ssget/MM/Grund/bayer02/bayer02.cbd,8,8,8,13935,13935,63679,0.18761,291230,3.1046319492564365
79,exe_spgemm_cusparse_bf16,/ssget/MM/Grund/bayer02/bayer02.cbd,2,2,2,13935,13935,63679,0.16696,291230,3.488620028749401
80,exe_spgemm_cusparse_16,/ssget/MM/Grund/bayer03/bayer03.cbd,2,2,2,6747,6747,56196,0.26475,507730,3.8355429650613786
81,exe_spgemm_cusparse_32,/ssget/MM/Grund/bayer03/bayer03.cbd,4,4,4,6747,6747,56196,0.26077,507730,3.894082908310005
82,exe_spgemm_cusparse_64,/ssget/MM/Grund/bayer03/bayer03.cbd,8,8,8,6747,6747,56196,0.3032,507730,3.3491424802110816
83,exe_spgemm_cusparse_bf16,/ssget/MM/Grund/bayer03/bayer03.cbd,2,2,2,6747,6747,56196,0.26509,507730,3.830623561809197
84,exe_spgemm_cusparse_16,/ssget/MM/Grund/bayer08/bayer08.cbd,2,2,2,3008,3008,27576,0.20149,281407,2.7932602114248843
85,exe_spgemm_cusparse_32,/ssget/MM/Grund/bayer08/bayer08.cbd,4,4,4,3008,3008,27576,0.19921,281407,2.8252296571457256
86,exe_spgemm_cusparse_64,/ssget/MM/Grund/bayer08/bayer08.cbd,8,8,8,3008,3008,27576,0.22619,281407,2.488235554180114
87,exe_spgemm_cusparse_bf16,/ssget/MM/Grund/bayer08/bayer08.cbd,2,2,2,3008,3008,27576,0.2002,281407,2.8112587412587415
